PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Deck,FamilySize,IsAlone,Title,TitleGroup,TicketPrefix,FarePerPerson,TicketCount,AgeBand,FareBand,FamilySizeBand,Age_Pclass,FPP_Pclass,Sex_Pclass,IsAlone_Sex,log_Fare,log_FarePerPerson,SexBin,Age_Sex,AgeBand_Sex,Deck_Pclass,Age_sq,SurnameCount
1,0,3,"Braund, Mr. Owen Harris",male,22.0,1,0,A/5 21171,7.25,S,U,2,0,Mr,Common,A/,3.625,1,2,0,1,66.0,10.875,0,0,2.1102132003465894,1.5314763709643886,0,0.0,2_male,U_3,484.0,2
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,1,0,PC 17599,71.2833,C,C,2,0,Mrs,Common,PC,35.64165,1,3,2,1,38.0,35.64165,1,0,4.2805931204649,3.6011855715430774,1,38.0,3_female,C_1,1444.0,1
3,1,3,"Heikkinen, Miss. Laina",female,26.0,0,0,STON/O2. 3101282,7.925,S,U,1,1,Miss,Common,STON/O,7.925,1,2,0,0,78.0,23.775,3,1,2.188856327665703,2.188856327665703,1,26.0,2_female,U_3,676.0,1
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1,0,113803,53.1,S,C,2,0,Mrs,Common,NONE,26.55,2,2,2,1,35.0,26.55,1,0,3.9908341858524357,3.3160025355989236,1,35.0,2_female,C_1,1225.0,2
5,0,3,"Allen, Mr. William Henry",male,35.0,0,0,373450,8.05,S,U,1,1,Mr,Common,NONE,8.05,1,2,0,0,105.0,24.150000000000002,0,0,2.2027647577118348,2.2027647577118348,0,0.0,2_male,U_3,1225.0,2
6,0,3,"Moran, Mr. James",male,25.0,0,0,330877,8.4583,Q,U,1,1,Mr,Common,NONE,8.4583,1,2,0,0,75.0,25.374899999999997,0,0,2.246892662898172,2.246892662898172,0,0.0,2_male,U_3,625.0,3
7,0,1,"McCarthy, Mr. Timothy J",male,54.0,0,0,17463,51.8625,S,E,1,1,Mr,Common,NONE,51.8625,1,3,2,0,54.0,51.8625,0,0,3.967694202798607,3.967694202798607,0,0.0,3_male,E_1,2916.0,1
8,0,3,"Palsson, Master. Gosta Leonard",male,2.0,3,1,349909,21.075,S,U,5,0,Master,Common,NONE,4.215,4,0,1,2,6.0,12.645,0,0,3.0944457464900235,1.6515390884527357,0,0.0,0_male,U_3,4.0,4
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0,2,347742,11.1333,S,U,3,0,Mrs,Common,NONE,3.7111,3,2,1,1,81.0,11.1333,3,0,2.495953738718064,1.5499214264083454,1,27.0,2_female,U_3,729.0,6
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,1,0,237736,30.0708,C,U,2,0,Mrs,Common,NONE,15.0354,2,1,2,1,28.0,30.0708,2,0,3.436268471383741,2.774798778265854,1,14.0,1_female,U_2,196.0,2
11,1,3,"Sandstrom, Miss. Marguerite Rut",female,4.0,1,1,PP 9549,16.7,S,G,3,0,Miss,Common,PP,5.566666666666666,2,0,1,1,12.0,16.7,3,0,2.8735646395797834,1.882006347075833,1,4.0,0_female,G_3,16.0,2
12,1,1,"Bonnell, Miss. Elizabeth",female,58.0,0,0,113783,26.55,S,C,1,1,Miss,Common,NONE,26.55,1,3,1,0,58.0,26.55,1,1,3.3160025355989236,3.3160025355989236,1,58.0,3_female,C_1,3364.0,1
13,0,3,"Saundercock, Mr. William Henry",male,20.0,0,0,A/5. 2151,8.05,S,U,1,1,Mr,Common,A/,8.05,1,2,0,0,60.0,24.150000000000002,0,0,2.2027647577118348,2.2027647577118348,0,0.0,2_male,U_3,400.0,1
14,0,3,"Andersson, Mr. Anders Johan",male,39.0,1,5,347082,31.275,S,U,7,0,Mr,Common,NONE,4.467857142857143,7,3,2,3,117.0,13.40357142857143,0,0,3.4742929367327062,1.6988867924884343,0,0.0,3_male,U_3,1521.0,9
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,0,0,350406,7.8542,S,U,1,1,Miss,Common,NONE,7.8542,1,1,0,0,42.0,23.5626,3,1,2.180891922715322,2.180891922715322,1,14.0,1_female,U_3,196.0,1
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,0,0,248706,16.0,S,U,1,1,Mrs,Common,NONE,16.0,1,3,1,0,110.0,32.0,2,1,2.833213344056216,2.833213344056216,1,55.0,3_female,U_2,3025.0,1
17,0,3,"Rice, Master. Eugene",male,2.0,4,1,382652,29.125,Q,U,6,0,Master,Common,NONE,4.854166666666667,5,0,1,3,6.0,14.5625,0,0,3.405355391810819,1.767153658425855,0,0.0,0_male,U_3,4.0,5
18,1,2,"Williams, Mr. Charles Eugene",male,30.0,0,0,244373,13.0,S,U,1,1,Mr,Common,NONE,13.0,1,2,1,0,60.0,26.0,0,0,2.6390573296152584,2.6390573296152584,0,0.0,2_male,U_2,900.0,4
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,1,0,345763,18.0,S,U,2,0,Mrs,Common,NONE,9.0,1,2,1,1,93.0,27.0,3,0,2.9444389791664403,2.302585092994046,1,31.0,2_female,U_3,961.0,3
20,1,3,"Masselmani, Mrs. Fatima",female,21.5,0,0,2649,7.225,C,U,1,1,Mrs,Common,NONE,7.225,1,2,0,0,64.5,21.674999999999997,3,1,2.1071782966514356,2.1071782966514356,1,21.5,2_female,U_3,462.25,1
21,0,2,"Fynney, Mr. Joseph J",male,35.0,0,0,239865,26.0,S,U,1,1,Mr,Common,NONE,26.0,2,2,1,0,70.0,52.0,0,0,3.295836866004329,3.295836866004329,0,0.0,2_male,U_2,1225.0,1
22,1,2,"Beesley, Mr. Lawrence",male,34.0,0,0,248698,13.0,S,D,1,1,Mr,Common,NONE,13.0,1,2,1,0,68.0,26.0,0,0,2.6390573296152584,2.6390573296152584,0,0.0,2_male,D_2,1156.0,1
23,1,3,"McGowan, Miss. Anna ""Annie""",female,15.0,0,0,330923,8.0292,Q,U,1,1,Miss,Common,NONE,8.0292,1,1,0,0,45.0,24.0876,3,1,2.2004637699272855,2.2004637699272855,1,15.0,1_female,U_3,225.0,1
24,1,1,"Sloper, Mr. William Thompson",male,28.0,0,0,113788,35.5,S,A,1,1,Mr,Common,NONE,35.5,1,2,2,0,28.0,35.5,0,0,3.597312260588446,3.597312260588446,0,0.0,2_male,A_1,784.0,1
25,0,3,"Palsson, Miss. Torborg Danira",female,8.0,3,1,349909,21.075,S,U,5,0,Miss,Common,NONE,4.215,4,0,1,2,24.0,12.645,3,0,3.0944457464900235,1.6515390884527357,1,8.0,0_female,U_3,64.0,4
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,1,5,347077,31.3875,S,U,7,0,Mrs,Common,NONE,4.483928571428572,4,3,2,3,114.0,13.451785714285716,3,0,3.4777725458882283,1.7018217367116275,1,38.0,3_female,U_3,1444.0,4
27,0,3,"Emir, Mr. Farred Chehab",male,25.0,0,0,2631,7.225,C,U,1,1,Mr,Common,NONE,7.225,1,2,0,0,75.0,21.674999999999997,0,0,2.1071782966514356,2.1071782966514356,0,0.0,2_male,U_3,625.0,1
28,0,1,"Fortune, Mr. Charles Alexander",male,19.0,3,2,19950,263.0,S,C,6,0,Mr,Common,NONE,43.833333333333336,4,1,4,3,19.0,43.833333333333336,0,0,5.575949103146316,3.802951910373784,0,0.0,1_male,C_1,361.0,4
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,21.5,0,0,330959,7.8792,Q,U,1,1,Miss,Common,NONE,7.8792,1,2,0,0,64.5,23.6376,3,1,2.1837114628556327,2.1837114628556327,1,21.5,2_female,U_3,462.25,1
30,0,3,"Todoroff, Mr. Lalio",male,25.0,0,0,349216,7.8958,S,U,1,1,Mr,Common,NONE,7.8958,1,2,0,0,75.0,23.6874,0,0,2.1855792552411137,2.1855792552411137,0,0.0,2_male,U_3,625.0,1
31,0,1,"Uruchurtu, Don. Manuel E",male,40.0,0,0,PC 17601,27.7208,C,U,1,1,Royal,Royal,PC,27.7208,1,3,1,0,40.0,27.7208,0,0,3.357621598945279,3.357621598945279,0,0.0,3_male,U_1,1600.0,1
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,35.0,1,0,PC 17569,146.5208,C,B,2,0,Mrs,Common,PC,73.2604,2,2,3,1,35.0,73.2604,1,0,4.993969182787072,4.307577835214363,1,35.0,2_female,B_1,1225.0,1
33,1,3,"Glynn, Miss. Mary Agatha",female,21.5,0,0,335677,7.75,Q,U,1,1,Miss,Common,NONE,7.75,1,2,0,0,64.5,23.25,3,1,2.169053700369523,2.169053700369523,1,21.5,2_female,U_3,462.25,1
34,0,2,"Wheadon, Mr. Edward H",male,66.0,0,0,C.A. 24579,10.5,S,U,1,1,Mr,Common,C.A.,10.5,1,4,1,0,132.0,21.0,0,0,2.4423470353692043,2.4423470353692043,0,0.0,4_male,U_2,4356.0,1
35,0,1,"Meyer, Mr. Edgar Joseph",male,28.0,1,0,PC 17604,82.1708,C,U,2,0,Mr,Common,PC,41.0854,2,2,2,1,28.0,41.0854,0,0,4.420896324687287,3.7397008871924475,0,0.0,2_male,U_1,784.0,3
36,0,1,"Holverson, Mr. Alexander Oskar",male,42.0,1,0,113789,52.0,S,U,2,0,Mr,Common,NONE,26.0,2,3,2,1,42.0,26.0,0,0,3.970291913552122,3.295836866004329,0,0.0,3_male,U_1,1764.0,2
37,1,3,"Mamee, Mr. Hanna",male,25.0,0,0,2677,7.2292,C,U,1,1,Mr,Common,NONE,7.2292,1,2,0,0,75.0,21.6876,0,0,2.1076888046179385,2.1076888046179385,0,0.0,2_male,U_3,625.0,1
38,0,3,"Cann, Mr. Ernest Charles",male,21.0,0,0,A./5. 2152,8.05,S,U,1,1,Mr,Common,A./,8.05,1,2,0,0,63.0,24.150000000000002,0,0,2.2027647577118348,2.2027647577118348,0,0.0,2_male,U_3,441.0,1
39,0,3,"Vander Planke, Miss. Augusta Maria",female,18.0,2,0,345764,18.0,S,U,3,0,Miss,Common,NONE,6.0,2,1,1,1,54.0,18.0,3,0,2.9444389791664403,1.9459101490553132,1,18.0,1_female,U_3,324.0,3
40,1,3,"Nicola-Yarred, Miss. Jamila",female,14.0,1,0,2651,11.2417,C,U,2,0,Miss,Common,NONE,5.62085,2,1,1,1,42.0,16.86255,3,0,2.5048481563289,1.8902237604980383,1,14.0,1_female,U_3,196.0,2
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,1,0,7546,9.475,S,U,2,0,Mrs,Common,NONE,4.7375,1,3,0,1,120.0,14.212499999999999,3,0,2.348991465808201,1.7470235753866634,1,40.0,3_female,U_3,1600.0,1
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,1,0,11668,21.0,S,U,2,0,Mrs,Common,NONE,10.5,2,2,1,1,54.0,21.0,2,0,3.091042453358316,2.4423470353692043,1,27.0,2_female,U_2,729.0,2
43,0,3,"Kraeff, Mr. Theodor",male,25.0,0,0,349253,7.8958,C,U,1,1,Mr,Common,NONE,7.8958,1,2,0,0,75.0,23.6874,0,0,2.1855792552411137,2.1855792552411137,0,0.0,2_male,U_3,625.0,1
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,1,2,SC/Paris 2123,41.5792,C,U,4,0,Miss,Common,SC/Paris,10.3948,3,0,2,2,6.0,20.7896,2,0,3.7513658711253766,2.4331571109859165,1,3.0,0_female,U_2,9.0,3
45,1,3,"Devaney, Miss. Margaret Delia",female,19.0,0,0,330958,7.8792,Q,U,1,1,Miss,Common,NONE,7.8792,1,1,0,0,57.0,23.6376,3,1,2.1837114628556327,2.1837114628556327,1,19.0,1_female,U_3,361.0,1
46,0,3,"Rogers, Mr. William John",male,25.0,0,0,S.C./A.4. 23567,8.05,S,U,1,1,Mr,Common,S.C./A.,8.05,1,2,0,0,75.0,24.150000000000002,0,0,2.2027647577118348,2.2027647577118348,0,0.0,2_male,U_3,625.0,1
47,0,3,"Lennon, Mr. Denis",male,25.0,1,0,370371,15.5,Q,U,2,0,Mr,Common,NONE,7.75,1,2,1,1,75.0,23.25,0,0,2.803360380906535,2.169053700369523,0,0.0,2_male,U_3,625.0,1
